,text,class
4135,roberto alejandro,1
4136,alma graciela,2
4137,corres,3
4138,coyohua,3
4139,escoto,3
4140,y fernandez,3
4141,miriam irais,2
4142,jesus efren,1
4143,valeriano,3
4144,carlos aurelio,1
4145,montiel,3
4146,dora nely,2
4147,valeria alejandra,2
4148,plinio,1
4149,cerriteño,3
4150,ronces,3
4151,guereca,3
4152,jardinez,3
4153,espindola,3
4154,balseca,3
4155,monica teresa,2
4156,barrales,3
4157,garduo,3
4158,christian fernando,1
4159,liliana isabel,2
4160,rossete,3
4161,froylan,1
4162,wendy liliana,2
4163,donde,0
4164,moises enrique,1
4165,gabaldon,3
4166,juan efrain,1
4167,solicitud y,0
4168,silvia edith,2
4169,luis benito,1
4170,sin buro,0
4171,dulce concepcion,2
4172,richarte,3
4173,muriedas,3
4174,credito donde hago,0
4175,fabian alberto,1
4176,sabori,3
4177,venzor,3
4178,virginia elizabeth,2
4179,oscar emmanuel,1
4180,bataz,3
4181,dora idalia,2
4182,oscar esteban,1
4183,maria catal,2
4184,malinali,2
4185,olvia,2
4186,martha elodia,2
4187,nancy yadira,2
4188,jimenez,2
4189,bolaños,3
4190,berenice elizabeth,2
4191,datos,0
4192,emelio,1
4193,playas,3
4194,donde puedo contactarlos,0
4195,valseca,3
4196,jaime jesus,1
4197,los documentos no,0
4198,odilio,1
4199,hector octavio,1
4200,miguel roberto,1
4201,urquin,3
4202,yessica gabriela,2
4203,cuenta de prestadero,0
4204,zoila luz,2
4205,me permite adjuntar,0
4206,encinos,3
4207,kevin,1
4208,credito,0
4209,vergel,3
4210,jose luis antonio,1
4211,beatriz berenice,2
4212,edgar martin,1
4213,maria concepcio,2
4214,jesus sergio,1
4215,neofito,1
4216,solicite u prestamo,0
4217,oblea,3
4218,maria apolonia,2
4219,cisneros,3
4220,dice que,0
4221,edwin omar,1
4222,bye,0
4223,borjas,3
4224,proceso,1
4225,jasmin,2
4226,marissa,2
4227,de benito,3
4228,silvia concepcion,2
4229,alicia magdalena,2
4230,sugey,2
4231,emerit,1
4232,mayela,2
4233,alma d,2
4234,ma esther,2
4235,solicitud para,0
4236,melita,2
4237,blanca lucila,2
4238,mi,0
4239,puedo,0
4240,michimani,3
4241,elia,2
4242,genchi,3
4243,joel antonio,1
4244,ernult,3
4245,mayra elizabeth,2
4246,jorge ernesto,1
4247,sergio jesus,1
4248,wendy del rosario,2
4249,silvia estela,2
4250,elda maria,2
4251,hiram abif,1
4252,perla rocio,2
4253,me deja,0
4254,elisabet,2
4255,leonor elena,2
4256,guillermo fernando,1
4257,gabriel alejandro,1
4258,elguea,3
4259,luis agustin,1
4260,laura gloria,2
4261,juana cruz,2
4262,ileana maria,2
4263,jose roman,1
4264,apreza,3
4265,maria valentina,2
4266,maciel,3
4267,horarios,0
4268,linda aurora,2
4269,me sigue diciendo,0
4270,que,0
4271,rachel,2
4272,lucia guillermina,2
4273,gurubel,3
4274,adriana,3
4275,perez,1
4276,rieke,3
4277,jose eladio,1
4278,a,0
4279,mayra yazmin,2
4280,campa,3
4281,lluvias,3
4282,claudia silvia,2
4283,vanoye,3
4284,felipe nery,1
4285,o,0
4286,fermin,1
4287,elvia beatriz,2
4288,ruben francisco,1
4289,mandujano,3
4290,tentle,3
4291,vallejo,3
4292,lucio alberto,1
4293,xochitl patricia,2
4294,hermenegildo,3
4295,montor,3
4296,en cuanto tiempo,0
4297,fabiola lorena,2
4298,eric david,1
4299,lilia del socorro,2
4300,estefania,2
4301,daniela,2
4302,alma concepcion,2
4303,victoriana,2
4304,la he vuelto,0
4305,jorge ariel,1
4306,claudia maricela,2
4307,adaile,3
4308,guadalupe cristina,2
4309,basoria,3
4310,credito tiene,0
4311,personales para,0
4312,evitarme los intereses,0
4313,moraila,3
4314,de un,0
4315,magda leticia,2
4316,luz guadalupe,2
4317,bueno,3
4318,karina patricia,2
4319,jorge manuel,1
4320,jose ambrosio,1
4321,eduardo raul,1
4322,jose aureliano,1
4323,gabriela de jesus,2
4324,molinar,3
4325,comprobantes de,0
4326,edmundo,1
4327,nophal,3
4328,patricia elena,2
4329,largo,3
4330,zamitiz,3
4331,oliver,1
4332,de,0
4333,colima,3
4334,informacion personal es,0
4335,cristino,1
4336,blanca iris,2
4337,leticia karina,2
4338,netzahual,3
4339,damas,3
4340,gocobachi,3
4341,mac,3
4342,tzompaxtle,3
4343,un prestamo para,0
4344,anselmo,1
4345,y chi,3
4346,del razo,3
4347,mijail,1
4348,luis eugenio,1
4349,credito desde,0
4350,maria lucely,2
4351,jessica maria,2
4352,elvia elizabeth,2
4353,maria vanessa,2
4354,norma micaela,2
4355,anides,3
4356,alejandro cesar,1
4357,alain,1
4358,etna,2
4359,edgar israel,1
4360,miguel de jesus,1
4361,ya,0
4362,carlota amalia,2
4363,elsa noemi,2
4364,francisco benjamin,1
4365,lizeth alejandra,2
4366,raul felipe,1
4367,manuel alfredo,1
4368,america selene,2
4369,maria alej,2
4370,vitela,3
4371,maribel guadalupe,2
4372,maria ivette,2
4373,estarron,3
4374,lorena isabel,2
4375,gloria noemi,2
4376,maria rosal,2
4377,mismo tiempo,0
4378,cristo,1
4379,dyck,3
4380,ma belen,2
4381,hector roberto,1
4382,al,0
4383,rosa elia,2
4384,bistrain,3
4385,jemima,2
4386,lisette,2
4387,rosario elena,2
4388,daza,3
4389,simeon,1
4390,oria,3
4391,pero me,0
4392,alvaro francisco,1
4393,arenas,3
4394,blanca aida,2
4395,tengo que pagar,0
4396,dimayuga,3
4397,chirinos,3
4398,enma,2
4399,solo tengo,0
4400,como,0
4401,temores,3
4402,cataño,3
4403,el,0
4404,rosa carolina,2
4405,rufino,3
4406,lourdes karina,2
4407,alta,3
4408,gamaliel,1
4409,nancy jacqueline,2
4410,echeagaray,3
4411,la de,0
4412,nostroza,3
4413,martha lizeth,2
4414,tiscareño,3
4415,francisco sebastian,1
4416,lizbeth del rosario,2
4417,maria elide,2
4418,ana maria dolores,2
4419,blanca hortensia,2
4420,mariel alejandra,2
4421,jose romualdo,1
4422,hugolina,2
4423,rita araceli,2
4424,nelly isabel,2
4425,hoffmann,3
4426,luis reyes,1
4427,silvia cecilia,2
4428,bancaria,0
4429,quiero cancelar,0
4430,mireles,3
4431,karla paola,2
4432,jose severiano,1
4433,j rafael,1
4434,tellechea,3
4435,adrian jesus,1
4436,ruth yadira,2
4437,erika del rosario,2
4438,frayre,3
4439,testa,3
4440,ruth araceli,2
4441,avechuco,3
4442,ana lucero,2
4443,barillas,3
4444,nande,3
4445,carlos alfredo,1
4446,zamilpa,3
4447,mi informacion,0
4448,sandra marcela,2
4449,ma goreti,2
4450,ine comprobante,0
4451,erick arturo,1
4452,galia,2
4453,virna,2
4454,luis artemio,1
4455,lucio antonio,1
4456,ma consuelo,2
4457,auces,3
4458,edgar alfredo,1
4459,jose eligio,1
4460,prestamo,0
4461,hever,1
4462,veronica alicia,2
4463,jesus fabian,1
4464,rosa clara,2
4465,nora cristina,2
4466,jorge uriel,1
4467,ahora he,0
4468,paloma guadalupe,2
4469,actualmente tengo,0
4470,si quisiera,0
4471,nolasco,3
4472,norma lydia,2
4473,gudino,3
4474,ma del rosario,2
4475,juan adan,1
4476,comunicarme a prstadero,0
4477,alejandro cruz,1
4478,no,0
4479,claudia vianey,2
4480,zapo,3
4481,adriana mercedes,2
4482,valladares,3
4483,minder,3
4484,lili,3
4485,jose de jes,1
4486,elba,2
4487,hilda ruth,2
4488,zaida patricia,2
4489,jose arnoldo,1
4490,patricia del carmen,2
4491,barreiro,3
4492,pilar,2
4493,bellos,3
4494,ma del carmen,2
4495,comision,0
4496,victor manuel,2
4497,puede aceptar,0
4498,se tardan en,0
4499,gildo,1
4500,baudelio,1
4501,raul ricardo,1
4502,martha laura,2
4503,laura rosalia,2
4504,miguel andres,1
4505,elizabet,2
4506,maria heriberta,2
4507,julieta del carmen,2
4508,luis albert,1
4509,moyano,3
4510,monica estela,2
4511,y arroyo,3
4512,carmen eugenia,2
4513,radillo,3
4514,flor margarita,2
4515,ramon arturo,1
4516,yessica fabiola,2
4517,a meses y,0
4518,alvaro alejandro,1
4519,andres miguel,1
4520,david ramon,1
4521,del,3
4522,jeannette,2
4523,barbabosa,3
4524,martin arturo,1
4525,lucina,2
4526,fco,1
4527,sandro,1
4528,juana de dios,2
4529,buenas,0
4530,talia,2
4531,alin,2
4532,miguel ang,1
4533,oranday,3
4534,porcayo,3
4535,cual,0
4536,jose victorino,1
4537,ma paulina,2
4538,politron,3
4539,tipo,0
4540,rangel,1
4541,irma nelly,2
4542,balbas,3
4543,maria viridiana,2
4544,claverie,3
4545,zenaido,1
4546,reyna isabel,2
4547,marina alejandra,2
4548,solicitar un credito,0
4549,karla rosario,2
4550,felipe alberto,1
4551,lenin,1
4552,camaños,3
4553,de debito,0
4554,bastian,3
4555,judith adriana,2
4556,aleida,2
4557,cuadros,3
4558,giovany,1
4559,brenda lucia,2
4560,lucia del carm,2
4561,fang,3
4562,bacasehua,3
4563,catache,3
4564,olga fabiola,2
4565,muraira,3
4566,sanchez,2
4567,alcala,3
4568,reinoso,3
4569,tezoco,3
4570,veronica raquel,2
4571,octavio enrique,1
4572,cynthia patricia,2
4573,hubbard,3
4574,guadalupe armida,2
4575,bernache,3
4576,cobro de comisiones,0
4577,emma del carmen,2
4578,y,0
4579,martha rosalia,2
4580,digitos de mi,0
4581,maricarmen,2
4582,jose gil,1
4583,juana ma,2
4584,informacion,0
4585,rosa esther,2
4586,medardo,1
4587,tzek,3
4588,pueden entregar,0
4589,juan aurelio,1
4590,amateco,3
4591,jannette,2
4592,yedid,2
4593,ceceñas,3
4594,mario alfonso,1
4595,rigoberta,2
4596,no,0
4597,pardenilla,3
4598,duran,0
4599,maria domitila,2
4600,cynthia azucena,2
4601,no,0
4602,manuela,2
4603,prestar,0
4604,hayde guadalupe,2
4605,cañongo,3
4606,francisca patricia,2
4607,sergio ramon,1
4608,elisa margarita,2
4609,me quiero,0
4610,juan fermin,1
4611,partida,3
4612,ramirez,3
4613,carlos efren,1
4614,mano mi comprobante,0
4615,maria ignacia,2
4616,si,0
4617,isael,1
4618,noguerola,3
4619,si me falta,0
4620,elisama,2
4621,jaime alejandro,1
4622,leticia del carmen,2
4623,rocio leticia,2
4624,diana luz,2
4625,butanda,3
4626,leonor alejandra,2
4627,abundia,2
4628,hilda maria,2
4629,ma ana,2
4630,luis gabriel,1
4631,un numero al,0
4632,salvador armando,1
4633,priante,3
4634,maria nelida,2
4635,aguillon,3
4636,vea,3
4637,xingu,3
4638,ostiguin,3
4639,gloria laura,2
4640,interbancaria,0
4641,flaviana,2
4642,lilia elena,2
4643,maria isela,2
4644,boanerges,1
4645,piliado,3
4646,maria martina,2
4647,j inocente,1
4648,leyda,2
4649,martha letici,2
4650,silvia lorena,2
4651,gabriela elizabeth,2
4652,fiscal,3
4653,ricardo manuel,1
4654,dena,3
4655,luz marina,2
4656,arvizo,3
4657,la tasa,0
4658,jaime salvador,1
4659,luiz,1
4660,oscar oswaldo,1
4661,irma elvira,2
4662,ruben enrique,1
4663,sampablo,3
4664,me faltan,0
4665,germana,2
4666,hornedo,3
4667,monica del socorro,2
4668,jose erik,1
4669,leiva,3
4670,laura yesenia,2
4671,gertrudis,2
4672,blanca nely,2
4673,monica isabel,2
4674,julian alejandro,1
4675,numila,2
4676,yo,0
4677,laura micaela,2
4678,celia elizabeth,2
4679,bernardita,2
4680,eric rene,1
4681,dionicio,1
4682,seynos,3
4683,eliasib,1
4684,eros,1
4685,ayuso,3
4686,porfirio,3
4687,caneda,3
4688,juana elia,2
4689,juan gregorio,1
4690,ma apolonia,2
4691,gloria ofelia,2
4692,cesar armando,1
4693,baldenebro,3
4694,jorge aurelio,1
4695,odilia,2
4696,ma rosalba,2
4697,americo,1
4698,hector de jesus,1
4699,pedro ariel,1
4700,zagada,3
4701,maria marlene,2
4702,emilia del carmen,2
4703,prestamo,0
4704,luz,1
4705,atalo,1
4706,maria tereza,2
4707,diana nayeli,2
4708,alejandra del rocio,2
4709,carmen rubi,2
4710,adriana estela,2
4711,sofia magdalena,2
4712,onorio,1
4713,direccion que esta,0
4714,fernando rafael,1
4715,ethelvina,2
4716,melesio,1
4717,edgar omar,1
4718,puedo hacer pagos,0
4719,nectar,1
4720,nora elva,2
4721,gabriela estela,2
4722,miriam elizabeth,2
4723,nancy patricia,2
4724,me piden clave,0
4725,brianda,2
4726,hola buen quisiera,0
4727,martin humberto,1
4728,parcero,3
4729,mirna alicia,2
4730,me,0
4731,la solicitud,0
4732,victor alfonso,1
4733,clemencia,2
4734,diana jacqueline,2
4735,julia angelica,2
4736,hilda veronica,2
4737,janette,2
4738,trampe,3
4739,arnoldo,1
4740,flor marina,2
4741,gabriela anahi,2
4742,main,3
4743,gilberto,1
4744,ma rosario,2
4745,abigail,1
4746,un credito,0
4747,gamez,3
4748,dardon,3
4749,sergio manuel,1
4750,jaime luis,1
4751,gladis,2
4752,tucari,3
4753,cesario,1
4754,cuanto puedo solicitar,0
4755,jose paul,1
4756,hueto,3
4757,villeda,3
4758,barbara guadalupe,2
4759,adriana nallely,2
4760,luisa fernanda,2
4761,mongoy,3
4762,y lara,3
4763,lizbeth concepcion,2
4764,jose fidel,1
4765,norma mireya,2
4766,claudia catalina,2
4767,cera,3
4768,rubicel,1
4769,raunel,1
4770,pelatos,3
4771,francisca marisol,2
4772,carmen cristina,2
4773,edgar fernando,1
4774,jacome,3
4775,alabazares,3
4776,magno,3
4777,subias,3
4778,ginez,3
4779,mezquite,3
4780,jesus alfredo,1
4781,fray martin,1
4782,embriz,3
4783,luz margarita,2
4784,irma carolina,2
4785,martha selene,2
4786,nadia angelica,2
4787,con,0
4788,cruces,3
4789,tecox,3
4790,correo,0
4791,las comisiones de,0
4792,jose ranulfo,1
4793,maria marga,2
4794,maria lucina,2
4795,mayra rocio,2
4796,irene isabel,2
4797,ana livier,2
4798,sandra virginia,2
4799,elba cecilia,2
4800,torralva,3
4801,ballina,3
4802,ana jessica,2
4803,paula cristina,2
4804,florenci,2
4805,morin,3
4806,mi,0
4807,brenda guadalupe,2
4808,marco adrian,1
4809,cons,3
4810,palomares,3
4811,mitzy,2
4812,de,0
4813,sonia esther,2
4814,ku,3
4815,josefina yolanda,2
4816,carlos de jesus,1
4817,rocio lorena,2
4818,lazaro,3
4819,maricruz,2
4820,ma beatriz,2
4821,ma del consuelo,2
4822,nute,3
4823,montuy,3
4824,chontal,3
4825,cobos,3
4826,salones,3
4827,reyna fabiola,2
4828,para,0
4829,faustino,3
4830,abundio,1
4831,alma monica,2
4832,crescencio,1
4833,antonio salvador,1
4834,alicia margarita,2
4835,jesus noel,1
4836,quintanar,3
4837,eva judith,2
4838,velueta,3
4839,reynaldo,1
4840,como me,0
4841,puedo hacer para,0
4842,maxinez,3
4843,aduna,3
4844,blanhir,3
4845,diana nallely,2
4846,santa cruz,3
4847,mansur,3
4848,tomasa,2
4849,graciela alicia,2
4850,luz amada,2
4851,silva,3
4852,casas,3
4853,jannet,2
4854,que,0
4855,helena,2
4856,patoni,3
4857,yeladaqui,3
4858,yanes,3
4859,villafañe,3
4860,oscar rodolfo,1
4861,carlos daniel,1
4862,rosa elena,2
4863,podrian dar,0
4864,luis augusto,1
4865,tamez,3
4866,laura lorena,2
4867,ugarte,3
4868,maria del pila,2
4869,wiliam,1
4870,cuenta que no,0
4871,laura jazmin,2
4872,xochitl erendira,2
4873,julio alfredo,1
4874,paco,3
4875,maria guad,2
4876,rocio gabriela,2
4877,credito,0
4878,doroteo,3
4879,llamar,0
4880,de un,0
4881,y dominguez,3
4882,erika mayela,2
4883,blanca e,2
4884,mario joaquin,1
4885,jimarez,3
4886,gorgonia,2
4887,nemesio,3
4888,alamirra,3
4889,elia del socorro,2
4890,maria elizab,2
4891,oltehua,3
4892,de,0
4893,heber,1
4894,diana alejandrina,2
4895,aguilar,3
4896,pavian,3
4897,lo,0
4898,oton,1
4899,yessica karina,2
4900,maria roselia,2
4901,repetido,0
4902,carrisosa,3
4903,daniel francisco,1
4904,beltran,3
4905,nogales,3
4906,carmona,3
4907,neidy,2
4908,chapoy,3
4909,isaac,1
4910,un,0
4911,pascasio,1
4912,cuervo,3
4913,gabriela del rocio,2
4914,marta margarita,2
4915,saul antonio,1
4916,zacapa,3
4917,sandra araceli,2
4918,acosta,3
4919,tan,0
4920,maria rosar,2
4921,retana,3
4922,mojardin,3
4923,raul guillermo,1
4924,carmen teresa,2
4925,beatriz elizabeth,2
4926,ana amelia,2
4927,tarjeta bancaria,0
4928,cirilo,1
4929,corcuera,3
4930,chopin,3
4931,keel,3
4932,erika violeta,2
4933,galeno,3
4934,nancy carolina,2
4935,lascano,3
4936,pablo salvador,1
4937,vianca,2
4938,mayra edith,2
4939,erendira guadalupe,2
4940,hilda cecilia,2
4941,vizar,3
4942,bojorquez,3
4943,geronimo,1
4944,marco alfredo,1
4945,beatriz yadira,2
4946,jose filiberto,1
4947,gordon,3
4948,jose braulio,1
4949,flor de abril,2
4950,gilberta,2
4951,limeta,3
4952,ma guadalup,2
4953,memije,3
4954,cardozo,3
4955,seth,1
4956,alicia lorena,2
4957,carolina isabel,2
4958,maria eleuteria,2
4959,arleth,2
4960,en y no,0
4961,juana hilda,2
4962,bonifas,3
4963,olga rocio,2
4964,puedo,0
4965,ma carm,2
4966,sergio miguel,1
4967,j manuel,1
4968,crescencio,3
4969,inurreta,3
4970,ligia del socorro,2
4971,mera,3
4972,jose mercedes,1
4973,leovardo,1
4974,hilda janeth,2
4975,fernando efrain,1
4976,violante,3
4977,ordoñes,3
4978,pedral,3
4979,ana isabel,2
4980,pide,0
4981,vicente,1
4982,norma leti,2
4983,de anda,3
4984,francisca rosario,2
4985,regina del carmen,2
4986,arteaga,3
4987,seefoo,3
4988,documentos,0
4989,francisca dolores,2
4990,javier ivan,1
4991,mayra patricia,2
4992,floriberta,2
4993,silvia lucila,2
4994,gabriela margarita,2
4995,ana maria,2
4996,maria emilia,2
4997,esquivias,3
4998,de rosas,3
4999,jimenez,3
5000,sonia del carmen,2
5001,deja,0
5002,josefina,1
5003,ferro,3
5004,martha oralia,2
5005,david ignacio,1
5006,quiterio,3
5007,maria mag,2
5008,celia isabel,2
5009,aldape,3
5010,jeziel,1
5011,martin ignacio,1
5012,rosa iliana,2
5013,tecanhuehue,3
5014,michi,3
5015,walberto,1
5016,guadalupe fabiola,2
5017,eriselda,2
5018,no importa si,0
5019,francisca leticia,2
5020,dora edith,2
5021,norely,2
5022,citlali,2
5023,maria soraya,2
5024,ricoy,3
5025,felix,2
5026,ruben manuel,1
5027,vertiz,3
5028,angelica adriana,2
5029,vivian,2
5030,jesus antonio,1
5031,camal,3
5032,amalia elizabeth,2
5033,documento,0
5034,reyes,2
5035,laura liliana,2
5036,rosa lidia,2
5037,gandhi,1
5038,razura,3
5039,margarita alejandra,2
5040,solicitar un,0
5041,claudia magali,2
5042,mi informacion,0
5043,ana joaquina,2
5044,yadira isabel,2
5045,paula,3
5046,carlos vicente,1
5047,monforte,3
5048,san roman,3
5049,panuco,3
5050,nova,3
5051,karen lizeth,2
5052,erika vanessa,2
5053,ligia esther,2
5054,jose edmundo,1
5055,maria blanca estela,2
5056,olivia maria,2
5057,tiempo,0
5058,bertha alici,2
5059,arquimides,1
5060,agundis,3
5061,amalia margarita,2
5062,martha,1
5063,karla iliana,2
5064,carm maria del,2
5065,varona,3
5066,paula leticia,2
5067,edgar de jesus,1
5068,nuño,3
5069,hector manue,1
5070,zapoteco,3
5071,karyna,2
5072,oscar xavier,1
5073,gloria berenice,2
5074,william jesus,1
5075,froebel,1
5076,concepci,2
5077,angulo,3
5078,lagarde,3
5079,teresita de los angeles,2
5080,bulnes,3
5081,notario,3
5082,ma bertha,2
5083,juana maria del rosario,2
5084,ugues,3
5085,laborin,3
5086,rafael luis,1
5087,jaime manuel,1
5088,hay,0
5089,sigue,0
5090,cerro,3
5091,aurora,2
5092,sandra maria,2
5093,teutle,3
5094,guiza,3
5095,independiente,0
5096,ana priscila,2
5097,aldana,3
5098,margarita berenice,2
5099,sofia elena,2
5100,elodia,2
5101,sandra ibeth,2
5102,jesus lorenzo,1
5103,justiniano,3
5104,yvonne,2
5105,conrado,3
5106,aurora elena,2
5107,de telefono para,0
5108,mares,3
5109,daniel jesus,1
5110,lavariega,3
5111,j isabel,2
5112,edna ruth,2
5113,edgar ulises,1
5114,ramirez,2
5115,score minimo,0
5116,luisa,2
5117,monica susana,2
5118,darvin,1
5119,rocio maribel,2
5120,gallego,3
5121,cural,3
5122,doroteo,1
5123,blanca,2
5124,marena,2
5125,ma antonia,2
5126,como firmo,0
5127,leocadio,1
5128,rico,3
5129,balan,3
5130,noooooooo,0
5131,karina lizbeth,2
5132,brenda yaneth,2
5133,banderas,3
5134,limones,3
5135,bruna,2
5136,mazum,3
5137,diana del socorro,2
5138,estoy registrada y,0
5139,yeverino,3
5140,oyorzabal,3
5141,luceli,2
5142,rosana guadalupe,2
5143,archivos,0
5144,yocundo,1
5145,jaime ruben,1
5146,besarez,3
5147,patiño,3
5148,brenda iris,2
5149,luis fernando,1
5150,livia,2
5151,iztaccihuatl,2
5152,marcos,3
5153,tyler,3
5154,iracema,2
5155,guadalupe isabel,2
5156,sigfrido,1
5157,regueira,3
5158,quime,3
5159,jafet,1
5160,xotlanihua,3
5161,fernando jose,1
5162,asuncion de maria,2
5163,norma estela,2
5164,merlos,3
5165,bertha monica,2
5166,audelia,2
5167,carmen araceli,2
5168,regla,3
5169,guillermi,2
5170,orlando,1
5171,victor francisco,1
5172,mayela guadalupe,2
5173,jorge humberto,1
5174,luz griselda,2
5175,jesus jorge,1
5176,irma soledad,2
5177,y guevara,3
5178,guereña,3
5179,simon pedro,1
5180,teresita de je,2
5181,jaurez,3
5182,tlalpa,3
5183,bracamonte,3
5184,evelia,2
5185,corazon de jesus,2
5186,eira,2
5187,ballesteros,3
5188,thome,3
5189,maria isabe,2
5190,sedeño,3
5191,tiscareno,3
5192,angelica isabel,2
5193,demetrio,3
5194,gurrola,3
5195,gumeta,3
5196,brenda araceli,2
5197,azeneth,2
5198,dioema,2
5199,farias,3
5200,ma gema,2
5201,jose edgar,1
5202,yolanda elizabeth,2
5203,si,0
5204,camarero,3
5205,rita cristina,2
5206,susunaga,3
5207,emmanuel de jesus,1
5208,casiano,1
5209,cuenta duplicada,0
5210,mayanin,2
5211,leticia edith,2
5212,luis alber,1
5213,lilia estela,2
5214,garfias,3
5215,carlos german,1
5216,luz esthela,2
5217,evencio,1
5218,cesar jesus,1
5219,silvia catalina,2
5220,petronilo,1
5221,mi nombre es,0
5222,llanito,3
5223,karen guadalupe,2
5224,victor ramon,1
5225,oscar saul,1
5226,rafael,3
5227,lidia edith,2
5228,capuchino,3
5229,juan cristobal,1
5230,evelin,2
5231,joselino,1
5232,disculpa,0
5233,fraustro,3
5234,fatima adriana,2
5235,charito,2
5236,jairzinho,1
5237,julio sergio,1
5238,natera,3
5239,laura rocio,2
5240,lilia ines,2
5241,brenda esmeralda,2
5242,a que,0
5243,jose cristobal,1
5244,norma gabriela,2
5245,gadiel,1
5246,alma hilda,2
5247,jose ma,1
5248,chatu,3
5249,pedro alfonso,1
5250,jaimes,3
5251,malo,3
5252,meliton,3
5253,castañeda,3
5254,astrid guadalupe,2
5255,abundio,3
5256,bibiano,1
5257,orduño,3
5258,antuñano,3
5259,america guadalupe,2
5260,pozadas,3
5261,luz ofelia,2
5262,nahon,3
5263,burgueño,3
5264,ignacio antonio,1
5265,lugardo,3
5266,pascual,1
5267,juana del carmen,2
5268,no me deja,0
5269,jose hipolito,1
5270,veronica de jesus,2
5271,veronica yazmin,2
5272,rafael arcangel,1
5273,finalizar,0
5274,isabela,2
5275,antolina,2
5276,la direccion,0
5277,maria eva,2
5278,bashulto,3
5279,refieres con,0
5280,beatriz araceli,2
5281,sinar,1
5282,carlos oswaldo,1
5283,guzman,3
5284,fallo verifica,0
5285,xx,3
5286,margarita yolanda,2
5287,ma angela,2
5288,yesica yadira,2
5289,dircio,3
5290,pagar,0
5291,adelaida,2
5292,nogal,3
5293,deuda,0
5294,carlos edmundo,1
5295,y,0
5296,ileana guadalupe,2
5297,alma patricia,2
5298,urena,3
5299,ma socorro,2
5300,oscar javier,1
5301,miguel alberto,1
5302,maria emma,2
5303,jose margarito,1
5304,carlos federico,1
5305,alma rosalia,2
5306,rober,1
5307,karina margarita,2
5308,lucelia,2
5309,elimino una cuenta,0
5310,blanca guadalupe,2
5311,cobro en toda,0
5312,wendy carolina,2
5313,fraire,3
5314,faz,3
5315,ociel,1
5316,fanny del rosario,2
5317,claudia ibet,2
5318,mazas,3
5319,blanca lizbeth,2
5320,diana iris,2
5321,basurto,3
5322,y me,0
5323,tania karina,2
5324,reynol,1
5325,rosibel,2
5326,nepita,3
5327,sergio fernando,1
5328,castaeda,3
5329,colotl,3
5330,que necesito para,0
5331,felipe angel,1
5332,tello,3
5333,un,0
5334,loreto,1
5335,pensado,3
5336,cahun,3
5337,alquicira,3
5338,isabel eugenia,2
5339,julio alfonso,1
5340,tendre ganancias,0
5341,sala,3
5342,vanessa guadalupe,2
5343,me,0
5344,carlos vladimir,1
5345,charles,3
5346,carmen concepcion,2
5347,federico alberto,1
5348,hugolino,1
5349,lumbreras,3
5350,carlos miguel,1
5351,raul esteban,1
5352,odalis,2
5353,manuel augusto,1
5354,ana maria guadalupe,2
5355,cynthia anahi,2
5356,tomas de jesus,1
5357,higinio,3
5358,sanjuana guadalupe,2
5359,olivan,3
5360,lucero,2
5361,diana isela,2
5362,escartin,3
5363,juana elsa,2
5364,vaquera,3
5365,se,0
5366,nancy maria,2
5367,ayerde,3
5368,vilchez,3
5369,maria yesenia,2
5370,tulia,2
5371,rodarte,3
5372,picos,3
5373,ollervides,3
5374,brizo,3
5375,santiago,3
5376,hiliana,2
5377,erandi,2
5378,ejemplo,0
5379,lopez portillo,3
5380,loida,2
5381,everardo,1
5382,adriana georgina,2
5383,santa maria,3
5384,visitas,0
5385,rosa elvira,2
5386,casquera,3
5387,pueden depositarme,0
5388,angelica minerva,2
5389,ma aida,2
5390,dongu,3
5391,aguero,3
5392,susana maria,2
5393,gloria itzel,2
5394,avimael,1
5395,escazan,3
5396,jesus victor,1
5397,valbuena,3
5398,angelica laura,2
5399,mayra fabiola,2
5400,dilma,2
5401,ma elva,2
5402,mario albert,1
5403,mi,0
5404,mayra elena,2
5405,a la mano,0
5406,duenez,3
5407,carmen luz,2
5408,obdulio,1
5409,carla isabel,2
5410,juana catalina,2
5411,aguas,3
5412,texco,3
5413,maria dora,2
5414,teresita guadalupe,2
5415,belmonte,3
5416,alma maribel,2
5417,rebeca beatriz,2
5418,elizabeth del carmen,2
5419,maria socorro,2
5420,coral,3
5421,armando antonio,1
5422,eva esther,2
5423,ganancias,0
5424,teutla,3
5425,patricia elizabeth,2
5426,gloria beatriz,2
5427,turrubiates,3
5428,georgina de jesus,2
5429,faisal,3
5430,juan simon,1
5431,tengo problemas,0
5432,dora nelly,2
5433,jupa,3
5434,no es,0
5435,teodulo,1
5436,christian israel,1
5437,cossio,3
5438,maria asuncion,2
5439,sonia alejandra,2
5440,jose albino,1
5441,minigo,3
5442,rafael jesus,1
5443,juana graciela,2
5444,tablada,3
5445,compean,3
5446,felipe miguel,1
5447,diana lizbeth,2
5448,prestador,0
5449,santa lucia,2
5450,norma delia,2
5451,guadalupe rocio,2
5452,ramon de jesus,1
5453,edgar emilio,1
5454,mosco,3
5455,no veo,0
5456,juan alfredo,1
5457,blanca alicia,2
5458,josefina elizabeth,2
5459,ma de los dolores,2
5460,bollas,3
5461,villaseñor,3
5462,edna margarita,2
5463,jose horacio,1
5464,alberto guadalupe,1
5465,mayra isela,2
5466,mirtha,2
5467,alvino,3
